id,category,severity,rule,why,anti_pattern_keywords,replace_with,source
custom-cursor-banned,cursor,banned-by-default,Never auto-install a custom cursor — opt-in only,Custom cursors read as agency-portfolio-show-off; wrong for service-business brands. Cardinal Rule 20 demoted 2026-05-17 after Orbit Digital rejection.,custom cursor|dot-and-ring cursor|cursor: url|custom-cursor,No custom cursor unless replication-mode reference uses one or Adam explicitly asks,no-custom-cursor-by-default
dashboard-in-hero-banned,hero,banned,Banned: dashboard mockup in hero section,Stripe Linear Vercel Resend every YC SaaS uses dashboard-in-hero. Zero originality.,dashboard mockup|product screenshot in hero|app preview hero,Custom hero: WebGL letterform | scrollytelling brand frame | abstract motion piece | typographic poster | drivable 3D toy | kinetic type splitting,taste-calibration
centered-headline-gradient-blob-banned,hero,banned,Banned: centered headline over gradient blob with generic CTA,Stock-hero template. Identifies as AI-default within 1 second.,centered hero|gradient-blob|blob background|radial-gradient hero,Asymmetric hero (left-aligned text + image bleed) | editorial split | full-bleed video | non-hero ('the page IS the hero'),design-quality
bento-grid-services-banned,layout,banned,Banned: bento grid for services/features section,Bento is the safest of A/B/C signatures. Picks itself when the builder has no point of view.,bento|grid-cols-3.*services|3x2 bento,Zig-zag 2-column | asymmetric overlap | sticky-rail with horizontal scroll | single-column narrative | split-screen comparison,taste-calibration+design-quality
3col-feature-cards-banned,layout,banned,Banned: 3 equal cards horizontally for features,Generic feature row identifies as AI-default. Use 2-col zig-zag or asymmetric grid instead.,grid-cols-3|3 equal cards,2-column zig-zag | asymmetric grid | horizontal scroll | single-column with sticky media,taste-skill
default-card-grid-banned,layout,banned,Banned: default card grids with uniform spacing and no hierarchy,All cards same size + same padding + same radius = no hierarchy = template.,uniform card grid|same-size cards,Mixed-size grid with intentional asymmetry. One hero card + 2-3 smaller. Or editorial/bento with real depth.,design-quality
uniform-radius-shadow-banned,components,caution,Banned: uniform radius/spacing/shadows across every component,All shadcn-default radii (8px everything) reads as unchanged scaffold.,rounded-md everywhere|same shadow everywhere,Vary radius by component role (cards larger buttons smaller chips full). Vary shadow weight by elevation tier.,design-quality
shadcn-unmodified-banned,components,banned,Banned: unmodified shadcn/Tailwind defaults passed off as finished design,shadcn is source-code you own. Defaults look exactly like every other shadcn product.,default shadcn|unmodified shadcn|shadcn-template,Customize radii colors shadows AND component composition. Treat shadcn as a starting skeleton not a finished theme.,taste-skill+design-quality
lucide-tinted-square-banned,components,banned,Banned: Lucide icons inside tinted-bg squares for features,Universal SaaS visual library. Lucide-icon-in-rounded-square = the AI-default move.,lucide.*bg-(blue|purple|emerald).*rounded|tinted square icons,Custom illustration system | photographed objects | abstract geometric marks | typographic numerals | NO icons at all where copy carries the load,taste-calibration
svg-arc-gauge-banned,components,banned-by-default,Banned: SVG arc gauges as decoration,Stripe-default 'progress arc' pattern. Used everywhere as decorative fluff.,arc gauge|svg arc|circular progress as decoration,Only when the gauge is meaningfully data-driven. Decorative arcs are banned.,taste-calibration
sparkline-decoration-banned,components,banned-by-default,Banned: sparklines used as decoration,Sparkline-as-vibe is the SaaS-aesthetic tell. OK if it shows real data.,decorative sparkline|fake chart|fake graph,Only with real data series. Otherwise replace with intentional typography or imagery.,taste-calibration
workflow-node-diagram-banned,components,banned-by-default,Banned: workflow node diagrams as decoration,n8n/Zapier-default visual. Decorative when not interactive = AI-default.,workflow diagram|node graph as decoration|n8n-style nodes,Only when actually interactive/explorable. Decorative nodes are banned.,taste-calibration
gsap-pinned-scroll-banned,motion,caution,Banned-by-default: GSAP pinned-scroll narrative as the signature,Pinned scroll is the safest of A/B/C signatures. Picks itself for risk-averse builders.,gsap.*ScrollTrigger.*pin|sticky scroll narrative as signature,Match motion to brand: spring physics | View Transitions API | scroll-driven CSS animations | custom canvas | NO motion (silence as choice),taste-calibration
gsap-framer-mixed-banned,motion,banned,Never mix GSAP/ThreeJS with Framer Motion in the same component tree,Two motion systems fighting = visible jank. Pick one per component subtree.,gsap + framer-motion in same component,Framer Motion for UI/Bento. GSAP/ThreeJS exclusively for isolated full-page scrolltelling or canvas backgrounds with useEffect cleanup.,taste-skill
neon-outer-glow-banned,components,banned,Banned: default neon/outer glows,box-shadow glow is the AI-default 'futuristic' move. Looks cheap.,box-shadow.*glow|drop-shadow.*0\s+0\s+\d+px,Inner borders | subtle tinted shadows | layered ambient + key shadows by elevation tier,taste-skill
excessive-gradient-text-banned,typography,caution,Banned: text-fill gradients on large headers,Gradient text identifies as AI-default. Reduces legibility too.,bg-gradient-to-r.*text-transparent|background-clip:text gradient,Solid color with weight + size hierarchy. Gradient text only when it carries brand meaning.,taste-skill
generic-names-banned,content,banned,No 'John Doe' / 'Sarah Chan' / 'Jack Su' generic names,Generic-name placeholders identify as AI-generated immediately.,John Doe|Sarah Chan|Jack Su|Jane Doe,Highly creative realistic-sounding names ('Imogen Hartcastle' 'Renji Adekunle' 'Femke Vroom'),taste-skill
egg-avatar-banned,content,banned,No standard SVG egg / Lucide user-icon avatars,Egg avatars = AI-default placeholder.,user-icon avatar|svg egg avatar|default avatar,Creative believable photo placeholders (picsum.photos/seed/{slug}/) or specific styling,taste-skill
fake-99-percent-banned,content,caution,No predictable round numbers (99.99% 50% 1234567),Round numbers read as fabricated. Real-world data is messy.,99\.99|50%|1234567|100% accuracy,Organic messy data: 47.2% +1 (312) 847-1928 4.7/5 from 1.2k reviews,taste-skill
startup-slop-names-banned,content,banned,No 'Acme' / 'Nexus' / 'SmartFlow' brand names in examples,Generic startup names tell viewer this is a template.,Acme|Nexus|SmartFlow|TechCorp|Innovate,Invent premium contextual brand names appropriate to the demo niche.,taste-skill
filler-words-banned,content,banned,Banned AI copy cliches: 'Elevate' 'Seamless' 'Unleash' 'Next-Gen' 'Empower' 'Transform' 'Streamline',Identifies as AI-generated copy within one sentence.,Elevate|Seamless|Unleash|Next-Gen|Empower your|Transform your|Streamline your|Robust|Cutting-edge|Game-changing,Concrete verbs that name the actual action ('Cut audit prep from 2 hrs to 8 min' not 'Streamline your audit workflow'),taste-skill
unsplash-broken-banned,content,banned,No Unsplash links (they break),Unsplash URLs have a history of breaking; placeholders rot.,unsplash\.com|unsplash-source,picsum.photos/seed/{random_string}/800/600 | self-hosted images | SVG UI Avatars,taste-skill
gray-on-white-1accent-banned,color,banned,Banned: safe gray-on-white styling with one accent color,Bootstrap-default. Defines no visual identity.,gray-50 + 1 accent|monochrome + single CTA color,Considered palette with 3-5 semantic roles. Use color for hierarchy not decoration.,design-quality
default-font-stack-banned,typography,banned,Banned: default font stacks used without deliberate reason,System fonts or Inter/Geist out of habit = no design decision made.,system-ui default|font-family without justification,Pick fonts deliberately. One display + one text pairing. Document the why in DESIGN-BRIEF.md.,design-quality
dashboard-by-numbers-banned,layout,banned,Banned: dashboard-by-numbers (sidebar + cards + charts with no point of view),Visible from a thumbnail as 'every analytics product ever'.,sidebar + cards + charts boilerplate,Pick a strong layout point of view (cockpit | editorial | bento with real depth | full-width data table with intent | dashboard split into 'now + later' frames),design-quality
flat-no-layering-banned,layout,banned-by-default,Banned: flat layouts with zero layering depth or motion,Stretches as 'minimal' but reads as 'unfinished'.,flat layout|no shadows|no layering anywhere,Establish depth via overlap surfaces shadows OR motion. Pick at least one.,design-quality
one-memorable-choice-required,originality,required,Every project must ship one memorable choice no other site has,Adam's standard is Awwwards SOTM / Bruno Simon / Stripe Sessions tier — defined by ONE thing nobody else has.,polished common choices|zero memorable choice,Before commit name the one thing nobody else has. Bruno Simon = drivable 3D car. Stripe Sessions = custom WebGL letterforms. Apple = letter-by-letter kinetic typography. Vercel = animated variable-axis demo native to type.,taste-calibration
originality-crosscheck-required,originality,required,Before final commit cross-check hero+services against 3 most recent projects,If >50% similarity restart with different direction.,similar hero|similar services|same approach as last project,Diff hero + services against 3 recent commits. If too similar pick a different signature (A/B/C — never default to safest).,taste-calibration
production-clean-required,components,required,Production-ready code: extremely clean visually striking memorable refined,Code quality reads through to design quality. Sloppy code = sloppy taste.,uncleaned code|dead imports|debug code shipped,Lint-clean | typed end-to-end | no dead imports | code-formatted | code reviewed before commit.,taste-skill
shadcn-custom-required,components,required,If using shadcn — customize radii colors shadows AND composition,Must look different from every other shadcn product.,shadcn defaults|out-of-box shadcn,Override radii colors shadows. Compose primitives into bespoke components. Treat shadcn as a primitive library not a finished theme.,taste-skill
